Year,Manufacturer,Division,Car_Model,City_FE_Alternative,Hwy2 Fuel FE (Guide) - Alternative Fuel,Comb2 Fuel FE (Guide) - Alternative Fuel,Annual_Fuel_Cost_Conventional,Annual_Fuel_Cost_Alternative,Fuel_Efficiency_Rating,GHG_Rating,Savings_5Yrs,Spending_5Yrs,City_CO2,Hwy_CO2,Comb_CO2
2021,Porsche,Porsche,718 Boxster,20.0,26.0,22.0,2200,,4,4,,3500.0,440,337,394
2021,Porsche,Porsche,718 Boxster GTS 4.0,19.0,24.0,21.0,2300,,4,4,,4000.0,460,367,418
2021,Porsche,Porsche,718 Boxster GTS 4.0,17.0,24.0,19.0,2550,,3,3,,5250.0,523,377,458
2021,Porsche,Porsche,718 Boxster S,19.0,25.0,22.0,2200,,4,4,,3500.0,461,348,410
2021,Porsche,Porsche,718 Boxster S,19.0,24.0,21.0,2300,,4,4,,4000.0,472,363,423
2021,Porsche,Porsche,718 Boxster T,21.0,27.0,23.0,2100,,5,5,,3000.0,422,328,380
2021,Porsche,Porsche,718 Boxster T,20.0,26.0,22.0,2200,,4,4,,3500.0,440,337,394
2021,Porsche,Porsche,718 Cayman,21.0,27.0,24.0,2050,,5,5,,2750.0,414,328,375
2021,Porsche,Porsche,718 Cayman,20.0,26.0,22.0,2200,,4,4,,3500.0,440,337,394
2021,Porsche,Porsche,718 Cayman GT4,18.0,24.0,20.0,2450,,4,4,,4750.0,488,373,436
2021,Porsche,Porsche,718 Cayman GT4,17.0,23.0,19.0,2550,,3,3,,5250.0,524,382,460
2021,Porsche,Porsche,718 Cayman GTS 4.0,19.0,24.0,21.0,2300,,4,4,,4000.0,460,367,418
2021,Porsche,Porsche,718 Cayman GTS 4.0,17.0,24.0,19.0,2550,,3,3,,5250.0,523,377,458
2021,Porsche,Porsche,718 Cayman S,19.0,25.0,22.0,2200,,4,4,,3500.0,461,348,410
2021,Porsche,Porsche,718 Cayman S,19.0,24.0,21.0,2300,,4,4,,4000.0,472,363,423
2021,Porsche,Porsche,718 Cayman T,21.0,27.0,23.0,2100,,5,5,,3000.0,422,328,380
2021,Porsche,Porsche,718 Cayman T,20.0,26.0,22.0,2200,,4,4,,3500.0,440,337,394
2021,Porsche,Porsche,718 Spyder,18.0,24.0,20.0,2450,,4,4,,4750.0,488,373,436
2021,Porsche,Porsche,718 Spyder,17.0,23.0,19.0,2550,,3,3,,5250.0,524,382,460
2021,BMW,TOYOTA,Supra 2.0,25.0,32.0,28.0,1750,,6,6,,1250.0,358,275,321
2021,BMW,TOYOTA,Supra 3.0,22.0,30.0,25.0,1950,,5,5,,2250.0,396,297,351
2021,aston martin,Aston Martin,DB11 V12,15.0,22.0,18.0,2700,,3,3,,6000.0,579,397,497
2021,aston martin,Aston Martin,DB11 V8,18.0,24.0,20.0,2450,,4,4,,4750.0,486,365,431
2021,aston martin,Aston Martin,DBS,14.0,22.0,17.0,2850,,3,3,,6750.0,618,404,522
2021,Volkswagen Group of,Bentley,Continental GT Convertible,16.0,26.0,19.0,2550,,3,3,,5250.0,570,344,468
2021,Volkswagen Group of,Bentley,Continental GT Convertible,12.0,19.0,15.0,3250,,2,2,,8750.0,716,459,601
2021,Ferrari,"Ferrari North America, Inc.",Portofino,16.0,22.0,18.0,2700,,3,3,,6000.0,560,394,485
2021,Ferrari,"Ferrari North America, Inc.",Portofino M,16.0,23.0,19.0,2550,,3,3,,5250.0,539,386,471
2021,Toyota,LEXUS,LC 500 CONVERTIBLE,15.0,25.0,18.0,2700,,3,3,,6000.0,598,356,489
2021,Lotus,Lotus Cars Ltd,Evora GT,17.0,24.0,20.0,2450,,4,4,,4750.0,501,361,438
2021,Lotus,Lotus Cars Ltd,Evora GT,17.0,26.0,20.0,2450,,4,4,,4750.0,525,338,441
2021,BMW,Mini,COOPER CONVERTIBLE,28.0,37.0,31.0,1550,,7,7,,250.0,313,240,280
2021,BMW,Mini,COOPER CONVERTIBLE,26.0,37.0,30.0,1600,,6,6,,500.0,333,242,292
2021,BMW,Mini,COOPER S CONVERTIBLE,26.0,34.0,29.0,1700,,6,6,,1000.0,346,260,307
2021,BMW,Mini,COOPER S CONVERTIBLE,23.0,32.0,26.0,1900,,5,5,,2000.0,386,276,336
2021,BMW,Mini,JOHN COOPER WORKS CONVERTIBLE,25.0,33.0,28.0,1750,,6,6,,1250.0,351,267,313
2021,Porsche,Porsche,911 Carrera,18.0,24.0,20.0,2450,,4,4,,4750.0,492,369,443
2021,Porsche,Porsche,911 Carrera 4,18.0,24.0,20.0,2450,,4,4,,4750.0,491,368,442
